종목코드,종목명,시장구분,현재가,등락률,거래량,시가총액
001440,대한전선,KOSPI,12780.0,-0.47,802466.0,2382796494000.0
001450,현대해상,KOSPI,24350.0,-3.18,677274.0,2176890000000.0
001460,BYC,KOSPI,35800.0,3.92,3108.0,223612170000.0
001465,BYC우,KOSPI,15510.0,0.45,3448.0,33406213500.0
001470,삼부토건,KOSPI,347.0,0.0,0.0,79699592928.0
001500,현대차증권,KOSPI,7150.0,-0.83,520705.0,442106264600.0
001510,SK증권,KOSPI,583.0,0.17,7572076.0,275520069693.0
001515,SK증권우,KOSPI,1878.0,1.57,45982.0,7347701292.0
001520,동양,KOSPI,600.0,3.27,1218734.0,143210437800.0
001525,동양우,KOSPI,4070.0,-2.28,6704.0,2514165170.0
001527,동양2우B,KOSPI,8410.0,1.82,767.0,2595065290.0
001530,DI동일,KOSPI,33300.0,0.45,45132.0,677126728800.0
001550,조비,KOSPI,12600.0,1.94,70597.0,65422211400.0
001560,제일연마,KOSPI,9800.0,-0.71,26429.0,97020000000.0
001570,금양,KOSPI,9900.0,0.0,0.0,633275240400.0
001620,케이비아이동국실업,KOSPI,479.0,-1.84,129484.0,53309361849.0
001630,종근당홀딩스,KOSPI,53000.0,0.0,5772.0,265522633000.0
001680,대상,KOSPI,21700.0,0.0,116199.0,751862142500.0
001685,대상우,KOSPI,16700.0,-0.77,8444.0,22882724100.0
001720,신영증권,KOSPI,111800.0,0.45,37421.0,1837992000000.0
001740,SK네트웍스,KOSPI,4135.0,-0.84,352459.0,914984124770.0
001750,한양증권,KOSPI,16160.0,0.12,63192.0,205693109440.0
001755,한양증권우,KOSPI,16040.0,0.31,5356.0,8421000000.0
001770,SHD,KOSPI,16840.0,0.96,3335.0,20458545520.0
001780,알루코,KOSPI,2255.0,-1.96,318897.0,218351947660.0
001790,대한제당,KOSPI,2875.0,0.88,995539.0,257877667500.0
001795,대한제당우,KOSPI,2365.0,0.64,192206.0,15331727400.0
001800,오리온홀딩스,KOSPI,18900.0,-1.46,206808.0,1183998475800.0
001820,삼화콘덴서,KOSPI,24650.0,-0.6,29450.0,256236750000.0
001940,KISCO홀딩스,KOSPI,24100.0,0.42,16496.0,341650758000.0
002020,코오롱,KOSPI,34900.0,1.31,667550.0,440662267400.0
002025,코오롱우,KOSPI,17570.0,0.11,41263.0,18912172300.0
002030,아세아,KOSPI,286500.0,-2.88,2047.0,597106110000.0
